joy,동기 & 선물 요즘들어 스트레스를 많이 받고 있는 동기와 같이 즐거운 시간을 보냈습니다. 술도 좋아하지 않는 친구가 술 먹고 싶다해서 같이 술도 먹고 고민도 들어주고 의미있는 시간을 보냈네요! 서로 잘 되었으면 하는 바램과 올해 한 해를 같이 어떻게 마무리할지 서로 공유하면서 좋은 시간을 보냈습니다^^ 늦은 시간까지 있지는 못했지만 맛있는 음식들과 하이볼~ 너무 맛있고 너무 좋네요^^ 주변에 참 좋은 사람들이 많고 주변에 있는 사람들이 잘되고 성장하는 모습을 보면서 기분이 너무 좋습니다!^^ 항상 감사하며 겸손하게 일하겠습니다!^^ 그리고 선물 주신 모든 분께 감사합니다! 건강 잘 챙기면서 일할께요^^ 다음주도 감사한 마음으로 달려보겠습니다!^^? 일류는 많지만 정점은 하나다. 성공의 정점 현명한 와이즈 화이팅! 1일
joy,안녕하십니까 아시아드요양병원입니다. 오늘날씨가 햇빛은 짠하고 비취는데 바람이 많이부는 다소 요란한 날씨 인거같습니다. 안에 있는데도 밖에 바람소리가 다들리더라구요ㄷㄷ 시원하기는 하더라구요 ㅋㅋ 이번에 소개해드릴 활동은 오랜만에 돌아온 어르신 웃음교실입니다~ 최근에 어르신들 이미용을 진행하였어서 다소 바빴다보니 진행이 어려웠던 부분도 있었지만 이번에 진행하게 되었답니다?? 참여하신 어르신들께서도 다들 열심히 최선을 다해서 참여해주셨답니다~ 몇몇분들께선 몸이 불편하신대도 말이죠ㅠ 감동 또 감동이었습니다~ 이번에도 별탈 없이 무사히 잘 끝나게 되어서 감사드리며 늘 즐겁고 기쁜마음으로 참여해주셔서 진심으로 감사드리며 저희들또한 매일매일 어르신들께 기쁨과 웃음을 드릴 수 있는 아시아드요양병원이 되겠습니다. 감사합니다.
joy," 함께 하기에 즐거운 사람들  요즘들어 아침에 라떼를 마시면서 하루를 시작합니다! 강의도 자주 하게되고 새로운 강의안도 만들어야해서 바쁘네요^^ 모임들도 많아지고 있지만 좋은 사람들과 같이 즐거운 시간을 보내서 좋네요^^ 대화나누다보면 시간들이 왜 이렇게 빨리 가는지 모르겠지만 그만큼 좋았던 것 같습니다. 늦은 시간까지 있지는 못했지만 게임도 하고 맛있는 피자와 문어튀김, 시원한 맥주~^^ 너무 맛있고 너무 좋네요^^ 주변에 참 좋은 사람들이 많고 주변에 있는 사람들이 잘되고 성장하는 모습을 보면서 기분이 너무 좋습니다!^^ 항상 감사하며 겸손하게 일하겠습니다!^^ 이번주도 감사한 마음으로 달려보겠습니다!^^? 일류는 많지만 정점은 하나다. 성공의 정점 현명한 와이즈 화이팅! 8시간"
joy,"살면서 가장 중요한게 무엇이 있을까요? 일단 재정상태,건강상태,인간관계 정도가 가장 중요할것입니다. 그리고 올바른 가치관. 제가 읽었던 책 '세상을 보는 지혜'에 이런말이 나옵니다. "" 세상은 빠르게 변한다. 정답으로 여겨졌던 많은 가치들이 틀린 답으로 드러나고 있다"" 세상은 아쉽게도 공정하지도 않고 마냥 선하게 검소하게 산다고 좋은것도 아닙니다. 인간의 본성과 세상의 본질을 꿰뚫어보고 그에 맞는 생각과 행동을 하는것. 타인에 대한 배려와 자비심을 갖되 철저하게 자신의 행복과 발전을 추구해가는것. 저 또한 여러가지 시도를 해보고 실패와 좌절을 겪으면서 결코 도달하지 못하는 정답에 가까운 선택지를 찾으려 노력하는 중입니다. 즐거운 주말입니다. 모두 행복하시길."
joy,가디건은 꼭 챙기는 걸로.. 괜히 넘거 뺏어 입지말고..ㅠㅠ 인형뽑기는 그냥 인형을 사는걸로.. 현금 어디로 갔니..ㅋㅋ 갈비살은 꼭 늘푸른목장에서.. 고기에 진심인 사람이 잘구은것도 한몫.. 소주는 한가지만 먹는걸로.. 해산물탕 먹을때 좋은데이 먹으면 컨디션 환 준다길래 바꿔먹었더니 컨다션 음료까지 추가로 시켜 먹었는데도 속이 안좋.. 오랬만에 레트로 오락도 해보고 총도 쏴보고. 코인 하나로 왕까지 가는 겜돌이도 봄 ㅡ.ㅡ 너최고! 3차까지 깔끔하게 드시고 10시전에 귀가~~ 부어서 눈라인 화장 좀 했더니 자신감 생겨서 사진이 많구만ㅋㅋ 어제 붓기 다 빠졌는데 오늘 또 좀 부엇네;;; 아~~진짜 늙었나봐. 술좀 적당히 먹어야지ㅠ ㅡ ㅡ 2일
joy,애들(큰애&조카) 과 아침등산 무학산은 올해만 세번째 정상에서 내려다보는 마산창원 시내와 통영 거제까지 바라보이는 확트인 전망은 가슴을 뻥 뚫게 만들어 주는듯?? 날씨가 다한 오늘 하늘이 너무 예쁘고 정상가는 길에 진달래도 예쁘고 발목을 꽉 잡아주고 뽀송뽀송함을 끝까지 유지해준 나의 새 꼬까신 (자랑해야 하는데 사진이없네;;??) 애들이 산을 너무 잘 올라가서 나이들어 체력 열심히 키우지 않으면 애들에게 끌려 올라갈 듯 점심때 도착한 이제 타프쉘 설치가 익숙해져서 금방 치고 바로 휴식모드 그리들 삼겹살과 무너라면에 역시 캠핑의 목적은 잘 먹는거라며 하얀구름과 푸른하늘이 펼쳐진 길을 손잡고 산책하며 주말 여유를 맘껏 즐겨봅니다 
joy,유주는 오늘도 맑음 장난감들을 쪼로리 앉혀놓더니 서로 손을 잡았다며 신이난 유주 오늘도 유주는 엄마와 장난감이 있어서 행복하다고 한다 그래도 엄마가 더 좋다고 한다?? 피부 아픈건 관심도 없는 유주 그냥 엄마랑 있는게 오늘도 행복한 유주 어린아이에게 인생을 배우는 요즘 엄마만 있으면 만사오케이인 아이처럼 예수님만 있으면 엄마도 만사 오케이 나 자체를 누구보다 사랑하는 주님이 계셔서 기쁘고 감사하다 아무 것도 염려하지 말고 다만 모든 일에 기도와 간구로 너희 구할 것을 감사함으로 하나님께 아뢰라 그리하면 모든 지각에 뛰어난 하나님의 평강이 그리스도 예수 안에서 너희 마음과 생각을 지키시리라 채찍에 맞음으로 나음을 입었도다 아멘
joy,"월요일 고급반 수업 그린 아스파라거스, 화이트 아스파라거스 출장과 이래 저래 바쁜관계로 이제서야 올린다. 화이트와 그린 아스파라거스를 조리하고 에그 비네그레이트, 꿀 비네그레이트를 만들어보는 시간이었다. 앞으로 고급반 부터는 특정 재료에 대해서 다루는 것 같다. 화이트 아스파라거스는 진짜 태어나서 처음 먹어봤는데 한국 마트에서는 가격 단가가 비싸기 때문에 대부분 팔지 않으며, 코스트코에 일주 있기는 하나 마감상태가 좋치 않은 편이라고 한다. 레스토랑에서는 업자를 통해서 구매한다고 한다. 녹두, 귀노아, 튀밥, 크로통 등을 곁들여 먹을 수 있다는 것을 처음 알게 된 시간이었다. 2일"
joy,"오늘(토요일) ""스페셜 매치데이"" 에 참석해 주신 슛돌이 친구들과 학부모님 들 진심으로 감사드립니다. 많이 미흡하고 부족한점이 많았지만 너그럽게 양해 부탁드리며 앞으로 주기적으로 더 좋은 이벤트로 친구들과 좋은 추억 만들겠습니다. 항상 귀하신 자녀 분들 믿고 보내주셔서 감사드립니다. 앞으로도 더 열심히 뛰어놀고 항상 밝고 즐겁게 수업 가르치도록 하겠습니다. 다음에는 참석 못한 우리 슛돌이 친구들과 학부모님 께서도 모두 참석해주셔서 자리를 빛내주시기 바랍니다. 즐거운 토요일 되시고 안전한 주말 보내시기 바랍니다 위생방역 준수하며 안전하게 진행하였습니다."
joy,"다양한 홈 데코 분야 중에서도 집안 분위기에 숨을 불어넣는 핵심요소 중 하나인 ‘식물(Plant)’과 ‘인테리어’를 조합해 ‘플랜테리어’라고도 부르는 식물 홈 데코 시장에서 특히 떠오르는 아이템은 바로 '조화' 랍니다. '조화’라고 하면? 누가 봐도 가짜 같고 조잡한 조화가 떠오르는 경우가 많을 것 같아요. 그러나 보기 흉한 조화나 인조 식물은 이제 옛날 이야기에요. 오늘날 조화는 더 이상 조잡하지 않을뿐더러 오히려 언뜻 보면 살아있는 식물과 구별이 어려워진 수준에 이르렀기 때문이죠. 당신의 공간에, 활력이 피어날 수 있도록 - Mariefleur"
joy,흐린날..늦은 오후.. 지나가는 길에 들리게된 . 지금 한창 역사에 관심이 많은 큰아이에겐 딱!!! 기념관을 돌아보며 자기가 아는 이야기를 설명해주는 너!!! 쪼꼼~~~뿌듯하다잉 . 동생들은 아직..ㅋ 조금 더 시간이 흐른 후에 다시 와야할듯 . 바람이 엄청 불어서인지ㅋ 사람들이 손에 꼽을정도로만 있어서 조용히 산책도하고 우리들 세상처럼 보고 느끼고 옴♡ . 조금 더 커서 왔을때... 너는 다시 역사에 대해 어떻게 느낄지... 궁금해진다^^ 계속 관심이 있기를... . 태극기를 좋아하는 어린 삼남매들ㅋㅋ 감탄하며 좋아서 연신 사진찍음...
joy,정말 너란아이 ㅋㅋㅋㅋ?? . 관계자분이 직접 찍어서 보내주신 영상 ㅋㅋㅋㅋㅋ . . 평소에도 성격 밝고 낯가림1도 없는데다가 아무하고도 잘 어울리는 민채지만 ...ㅋㅋㅋ 개인기라고 할수있는 ㅋㅋ....엄마한테 전수받은 개다리춤까지 선보이던너 ㅋㅋㅋㅋㅋ . 여러 관계자분들 앞에서 서스름없이 개다리춤 춰주며 큰웃음주고 쿨하게 퇴장 ㅋㅋㅋㅋ 촬영장을 누비고 다니며 모든분들과 이야기도 잘하고 분의기메이커 역할을 톡톡히 하는 너의능력?? 근데 평소와는 좀 다른 느낌의 개다리 춤이다? ㅋㅋㅋ 빙글빙글 도는것까지 추가한 너의 춤사위 ㅋㅋㅋㅋㅋ귀요미
joy,"과학계가 오랫동안 외쳐온 기후변화 문제?? 기후변화 문제가 가져올 큰 재앙을 맞닥뜨리기 전 우리는 탄소 배출을 최대한으로 절감 시키기 위한 기술적 요소가 반드시 필요합니다 이에 지난 4월 22일 지구의 날을 맞아 HPE와 페이스북, 마이크로소프트(MS)사는 저탄소 에너지의 발전과 저장 및 보급을 위한 저탄소 솔루션 개발 기술을 지원하기 위해서 수백 개의 특허권의 사용료를 면제한다고 밝혔습니다. 이처럼 지금은 모두가 힘을 합쳐 모두의 지구 살리기에 동참해야 할 시기인데요? 유니온마스텍도 작은 실천을 통해 지구 살리기에 함께하겠습니다."
joy,5.1 도시락 일끝나고 가야해서 에버랜드 야간개장에 놀러갔다~어린이날 함께할수 없어서 미리다녀왔다ㅎㅎ 비가 많이내릴까봐 걱정했지만~잠깐내리고 날씨는 나쁘지않았다 스릴좋아하는 정민서 넘웃기다 응근겁많은 정석원~ 많은 놀이기구타서 신나고~~ 남동생이 직접싸준 유부초밥 삼각김밥 돈까스ㅎㅎ 덕분에 너무편히 잘먹었다~ 이런삼촌 동생이 어디있겠오ㅎㅎ 더예쁘게 사진못찍어서 좀 그렇지만~~몸은 피곤해도 즐겁게 놀고 퍼레이드에 흠뻑취해서 하트날려주고 손흔들어주는 너희모습보니 행복하구나 담에 또가자는 아이들~ 담에는 엄마가 쉬는날가자~~ 2일
joy,"05월01일 새벽운동(253일차) 5월은 서울 마라톤 러닝으로 시작~ 상쾌한 기분과 좋은 기운으로 ~ 근데~~왜~비가 오냐구~ 오늘은 집에서 가볍게 스트레칭 과 근력운동으로 몸 풀기~ 비록 비는 오지만 그래도 힘차게 ,활기차게 , 건강하게 ,행복하게 ,감사하게 나의 건강 습관 만들기 ~START 건강이 새로운 ""부""이다. 나의 하루 미션~ 틈틈히 쉬어주기 겸둥이들 간식 챙기기 겸둥이들과 자주 통화하기 서울 마라톤 러닝하기(1일차) 수분보충 많이 하기 항상 행복하기,항상 감사하기~ 일상 토요일 일상 나~ 3일"
joy,"4학년 친구들과 글쓰기 수업 중~! 우리 친구들과 놀이를 통해 친구들의 특성을 파악해 글로 표현하기! 팀 이름을 정하자고 했더니, 팀별로 고민하다가~ 빨, 노, 초 옷을 입은 아이들이 ""우리 옷이 신호등 같다~!""라고 해서 신호등 팀! 보라색, 민트색 옷을 입은 아이들은 ""보라, 민트~보민이 하면 되겠네~ 내 친구 이름이야~"" 보민 팀! 신호등 팀이 거의 다 이겼는데, 보민팀이 아슬아슬 역전 승~!! 아이들과 즐거운 시간 보내고 추억도 쌓고 이야기도 많이 하고 이 모든 내용들이 아이들의 글에 녹아 있다~"
joy,나는 서울에서 캐리강은 광주에서 쟈까님 만나러 대전으로 궈궈~ 수다떨고 밥먹고 디저트먹고 할 예정이였으나 어쩌다보니 프로젝트가 진행되어버렸답?? 오랜만의 창작욕에 불타올라 열정이 와르르 공연하면서 분출해야 하는 에너지를 속에 품고있었는데 한번에 쏟아져나옴서 엔돌핀 솟구침 얼마나 열기가 가득했던지 셋다 술한잔 안먹었음에도 얼굴이 울그락불그락 닳아올랐더라 완성되어지까지 얼마나 걸릴지 모르겠으나 작가님의 진행력으로 첫발 내딛었으니 즐거운 마음으로 함께 해보쟈욧ㅎㅎ 또 다른 부캐 생성되었습니다.. 순덕이??
joy,윤애영음악학원 달란트시장 엄마가 22년째 운영하시는 음악학원의 달란트시장. 한명 한명을 생각하시며 그 아이들을 위해 준비하는 엄마의 큰마음 마음이 얼마나 큰지 규모가 어마어마하다 이번에도 20시간 진열하고 준비해서 아이들을 맞이했다. 시작하기 30분전부터 학원주변은 들떠서 시끌시끌한 아이들의 소리로 오랜만에 소란스러웠다. 그 소란스러움까지 반가웠던 오늘. 코로나로 모든 행사를 못했던 작년. 잘 기다려준 착한 천사들은 오늘 기분 최고다 너희들의 오늘이 평생의 예쁜 추억으로 남길 바란다 천사들 사랑해
joy,매일 책을 읽는게 쉽지 않네요.. 나의 짜투리 시간과 마음에 공허함을 달래보려 마음을 다 잡고 차분히 목표를 정하고 꾸준히 읽어보려 합니다.. 요즘은 부쩍 더 생각이 많아 어디로 터질지 모르는 제 마음의 갈 길을 은둔의 즐거움으로 채워보려 합니다.. 욕심은 매주 한권이라고 생각했지만.. 도저히 습관과 행동이 따라주질 않네요..ㅠㅠ 그래서 전 한달의 두권으로 꾸준히 좋아지는 모습으로 화이팅 하렵니다. 무리하지 않고 지치지 않게 할 수 있는것 부터 다시 시작하렵니다. 인친님들의 많은 응원 부탁드려요
joy,"오늘도 하트구름봐서 신난 부부 스벅 딸기라떼 :) 달달하니 넘나 맛있어유 다 먹고 사진보니 또 마시고 싶은 ㅋㅋㅋㅋㅋㅋ 저녁먹고, 머신기로 커피해먹자, 여부얌 오랜만에 쑤미 채윤이 만나서 수다타임?? 쿠킹노트32에서 먹은 세트메뉴-! 세개 다 맛있었당 특히 연어샐러드-! 후식으로 음료,아이스크림에서 아이입맛인 나는 요거트 아이스크림ㅋㅋ 옛날이야기 하면서, 추억속으로 푹 빠져 더 돈독해지는 시간이였엉 마지막까지도 감동이였던 너 자주 보자고 약속하고, 즐거운 시간이였엉 :)"
joy,2021.05.01.토요일 오늘 너무너무 즐거웠다우우 거의 다들 다같이 생얼로 만나서 셀카 따위 한 장도 없네 풉킥풉킥 대신 음식 사진들로 가드으으으윽!! 담엔 셀카도 사진 많이많이 찍자아 ~~ 그 땐 제대로 꾸미고 가야지 크크크크킄 해산 할 때마다 슬퍼 맴찢 얼릉 여행 갈 수 있는 날이 왔으면...!! 모두들 오늘 수고많았옹 ! 담에 또 보자 ~~ 앞으로도 잘 부탁해 ㅎㅎㅎ 5월 첫 날부터 기분이 좋구룡 앞으로도 쭈욱 롱런 해피해피하자 다들 많이 very 우정해애애애
