,text,sentiment
10,신났네난리났네처음에겁나무서웠음 똥물에빠질까봐두려웠음허나삼십초뒤부터그저신남헬렐레동남아또가고시푸다모기만빼준다면일상좋아요소통친스타그램김치끼아호신났네난리났네처음에겁나무서웠  년 전   신났네 난리났네 처음에 겁나 무서웠음   똥물에 빠질까봐 두려웠음 허나 삼십초뒤부터 그저신남 헬렐레 동남아 또가고 시푸다 모기만 빼준다면 일상 좋아요 소통 친스타그램 김치 끼아호 ,fear
11,  주년 결기여행 월욜학교땜시 가까운곳으로 박 물좋아하는 애들을위한 수영장호텔 오지게먹은날 아침 시에일어나 체크아웃하고 집와서 애들 학교보냄 빡시다 집에와보니  키로늘어있음 피곤해도 좋아하는 아이들땜시 산다,joy
12,fung형 데바데빵송 시참함형 방송 맨날 보기만 했는데 같이해서 기뻣음 스티브로 시참했는데 방송탄다고 생각하니까 쫄아서 스텔스만 했어  형이 신캐모션 보여준다고 즉처들었는데 죽어주는 센스가 없었네  잡혀줄껄 블로그 안판다 광고 꺼져  일 전  fung형 데바데빵송 시참함형 방송 맨날 보기만 했는데 같이해서 기뻣음 스티브로 시참했는데 방송탄다고 생각하니까 쫄아서 스텔스만 했어  형이 신캐모션 보여준다고 즉처들었는데 죽어주는 센스가 없었네  잡혀줄껄 ,joy
13,제주도 여행 낚시 및 밤낚시 feat복어화났음오늘은 제주도 여행 다녀온 이야기를 하려합니다 제주여행은 언제가도 마음을 설레게 하는 곳이에요사진을 보는것 처럼 꼭 해외에 와있는 느낌을 들게 만드는 곳이니깐요 따뜻한 날씨가 산들거리는 바람이 한양청소기 년 전  제주도 여행 낚시 및 밤낚시 feat복어화났음오늘은 제주도 여행 다녀온 이야기를 하려합니다 제주여행은 언제가도 마음을 설레게 하는 곳이에요사진을 보는것 처럼 꼭 해외에 와있는 느낌을 들게 만드는 곳이니깐요 따뜻한 날씨가 산들거리는 바람이 ,anger
14,늦었다알람소리도 못 듣고 달콤한 잠을 자다 깼더니  시   분으아 봄이라서 자도 자도 졸린건가 아님 허리가 아파서 먹는 약때문인가 눕기만 하면 잠들어버린나먹고 자고 먹고 자고겨울잠이 아니라 봄잠을 자는 것 같다,surprise
15,  아탄소년단                    a         a    아탄소년단     아탄소년단    시간 전    아탄소년단                                        a                  a        아탄소년단       ,surprise
16,그대와 재회를 한다면 그대는 다시 사랑하는 일이지만 저는 잊는 걸 잊는 바람에 재회라 표명할 수 없습니다 그대에 짧은 성명은 부를 수 없이 멀어졌으나 달을 한 바퀴 돌 만큼 길었더라도 토씨 하나 잊지 않았을 겁니다 비록 그대와 사랑은 절멸했지만 흩어지고도 남은 사랑을 시간조차도 못 가져가도록 고이 숨겨놓은 채 간직합니다 주말에 딱히 할 일이 없을 때마다 그대를 떠올리면서 세상에 없는 듯한 그대를 가끔 사랑하곤 합니다,sadness
17, 형부 감사합니다대전 야경 야경명소 야경스타그램 야경사진 식장산 식장산야경 식장산전망대 형부최고  차선만있어요 운전 돌아버리는줄 우리형부 내리막길을 후진으로  다음에 또  야경 보러 가자고 때쓰면 그땐 맞을듯이제 야식으로 회먹자 지혜가쏜다 얼스타그램 셀스타그램 내얼굴 형부 감사합니다대전 야경  달 전    형부 감사합니다대전 야경 야경명소 야경스타그램 야경사진 식장산 식장산야경 식장산전망대형부최고  차선만있어요 운전 돌아버리는줄 우리형부 내리막길을 후진으로   다음에 또  야경 보러 가자고 때쓰면 그땐 맞을듯이제 야식으로 회먹자 지혜가쏜다 얼스타그램 셀스타그램 내얼굴 ,anger
18, WIP양미경지난  회에서 시한부라는 청천벽력 같은 소식을 들은 경혜 사모님목숨보다 소중한 하나뿐인 아들 태풍을 지키기 위해 앞으로 경혜가 어떤 일을 펼치게 될지양미경 배우가 출연 중인 KBS  오늘 오후  시   분 본방사수양미경 더블유아이피 비밀의남자 이경혜 모성애 배우 강은탁 엄현경 이채영 오후 시  분 본방사수WIP KBS  Yangmikyung actor actress WIP양미경지난  회 일 전   WIP 양미경 지난  회에서 시한부라는 청천벽력 같은 소식을 들은 경혜 사모님목숨보다 소중한 하나뿐인 아들 태풍을 지키기 위해 앞으로 경혜가 어떤 일을 펼치게 될지양미경 배우가 출연 중인 KBS   비밀의 남자 오늘 오후  시   분 본방사수양미경 더블유아이피 비밀의남자 이경혜 모성애 배우 강은탁 엄현경 이채영 오후 시  분 본방사수WIP KBS  Yangmikyung actor actress ,love
19,운명 내 운명의 애꿎은 심술궂음이 내 몸뚱아리를 노리개로 삼더라도 난 착각과 망상으로 버텨내련다 내 운명이 내동댕이쳐진 내 현실의 잔혹한 황무지에는 난 긴 한숨짖고 시와 문학으로 어여쁘게 분장질을 하련다,sadness
20,지금 너무 기분이 좋으니 자그마한 이벤트를 열까 합니다  알티해주시는 분들 중  분에게 솝랜드 굿즈 무엇이 들어 있을지는 모릅니다   선물로 드리도록 하겠습니다  방탄 너무 자랑스럽고 축하합니다,joy
21,돈블랑다른 순대국집 가는게 사실 좀 두려웠음 맛없을까바 이미 만수동맛집에 익숙해졌으나 여기도 나쁘지 않았음 다만 친구는 돼지냄새가 난다고했는데 난 그렇게 막 미각이 뛰어나진 않아서 돼지처럼 잘 BlueDSHY 달 전  돈블랑다른 순대국집 가는게 사실 좀 두려웠음 맛없을까바 이미 만수동맛집에 익숙해졌으나 여기도 나쁘지 않았음 다만 친구는 돼지냄새가 난다고했는데 난 그렇게 막 미각이 뛰어나진 않아서 돼지처럼 잘 ,fear
22,반전주의 반전 개웃기네  자동차 명장으로 티비 많이 나오셨던분인데 개그감 있으시네  국산차 좋아 해놓고 내차는 외제차  짤 보고 웃고 가세요    유머패밀리 빨강이에요 매일 재밌는 영상짤 업로드 합니당 재밌게 보셨으면 팔로우 감사해요,joy
23, 태풍이 지나간 하늘은너무나 맑고 깨끗하다밤새 살벌했음태풍 무서웠음 유리창깨지고정전되고 개무섭 태풍이 지나간 하늘은너무나 맑고 깨  일 전   태풍이 지나간 하늘은너무나 맑고 깨끗하다밤새 살벌했음태풍 무서웠음 유리창깨지고정전되고 개무섭 ,fear
24,  분크로키  누굴까본인닮으신분 밝히시오 분지나고 조금씩수정 다듬기셀카보고그렸어유크로키어렵다연필그림  분크로키  누굴까본인닮으신분 밝히 시간 전    분크로키  누굴까본인닮으신분 밝히시오 분지나고 조금씩수정 다듬기셀카 보고 그렸어유 크로키 어렵다 연필 그림 ,sadness
25,오랜만의 당일치기 서울 나들이우한폐렴 때문에 쪼금 무서웠음오랜만의 당일치기 서울 나들이 우한폐렴 때문에 쪼금 무서웠음 안녕하세요 장비서입니다 금요일 불금불금한 날 아침 일찍 서울에 가서 볼 일 보고 저녁 늦게 부산에 도착했답니다 포스팅 제목은 서울 장비서가 쓰다D 달 전  오랜만의 당일치기 서울 나들이우한폐렴 때문에 쪼금 무서웠음오랜만의 당일치기 서울 나들이 우한폐렴 때문에 쪼금 무서웠음 안녕하세요 장비서입니다 금요일 불금불금한 날 아침 일찍 서울에 가서 볼 일 보고 저녁 늦게 부산에 도착했답니다 포스팅 제목은 서울 ,fear
26, 밥좀먹자카페는 엄청 많은데밥집 부족 배고픔화났음자유부인언니랑나랑강자매행궁동맛집카페 밥좀먹자카페는 엄청 많은데 달 전   밥좀먹자카페는 엄청 많은데밥집 부족 배고픔 화났음 자유부인 언니랑나랑 강자매 행궁동 맛집 카페 ,anger
27,새벽 산책을 즐기시는분들은 아실거에요 차가운 공기는 상쾌하고 착 가라앉는 기분과 시간이 멈춰 버린것만 같은 느낌을요 지금 순간만큼은 누구에게도 방해 받지 않고 세상에 나 혼자 있다고 생각되는 시간이라는걸요 더할나위 없이 행복할땐 모든 잡념과 불안을 잊게 해주기도 하지만 고요한 새벽에 잡아 먹히면 갑자기 몰려오는 외로움과 공허함에 괴롭다는것을요 그럼에도 매일을 이렇게 방황하며 견디는 이유는 누군가가 진득하게 생각나고 그리우니까 보고싶지만 볼 수가 없어서 고요한 새벽이 모든 슬픔과 아픔을 같이 삼키길 바라니까,sadness
28,아  오늘 오전에 대박 소식을 들어버려 종일 진짜 와 이랬네요 입이 근질근질 하지만 아직은 때가 아니예요 그치만 곧 빠르면 담달부터두 아실수도 있을껑예요 나징짜 기초화장품 잘 선택해서 바르고 피부 광나고 건강해지니 님께서 광고를 하구 님께서도 광고를 하구 알거봤더니 쓰면서 돈도벌구 회사가 대기업이네요  잘몰라쒀요증맬루 행벅하답니다 오예오예,surprise
29,내가 다 해결되었다고 생각하는 일에 여전히 매달려 고뇌하는 사람들이 있으면 그 사람들을 우습게 볼 것이 아니라 자신이 빠뜨린 것이 없는지 되돌아보는 게 이롭다 독창적인 생각은 대개 그럴 때 얻어진다 일종의 과제 집착력이랄까 아이들한테만 강요할 게 아니라 어른들도 가져야 할 태도가 아닌가 싶다 수학 문제 하나 제대로 알고 푸는데도 수고가 만만치 않은데 삶의 문제를 너무 쉽게 해결해버리려는 건 아닌지 반성하게 된다 게다가 삶의 문제는 대부분 답을 내는 데서 끝나는 게 아니고 그 답을 살아내는 게 필요하니 간단히 마무리될 수 없다 삶을 사랑한다는 건 결국 문제를 사랑하는 것이라는 말을 다시 이해한다,sadness
30,요즘 왜 이렇게 뚱뚱하지 살 뺄까   힘들다 진짜요즘 왜 이렇게 뚱 시간 전   요즘 왜 이렇게 뚱뚱하지 살 뺄까   힘들다 진짜 ,sadness
31,홍합미역국 끓이는법 쉬운데 힘들다홍합미역국 끓이는법 쉬운데 힘들다 참 미역국을 좋아하는 우리 아들 이렇게 저렇게 요렇게 요구 사항 닦아주었어요 힘들다   그렇게 세척한 홍합은 끓는 물에 청주   큰 술  맛술 넣어서 삶아주세요 달콤미니미 행복이야기 달 전  홍합미역국 끓이는법 쉬운데 힘들다홍합미역국 끓이는법 쉬운데 힘들다 참 미역국을 좋아하는 우리 아들 이렇게 저렇게 요렇게 요구 사항 닦아주었어요 힘들다   그렇게 세척한 홍합은 끓는 물에 청주   큰 술  맛술 넣어서 삶아주세요 ,sadness
32, 나 왕조현 좋아함우리 이모 닮음사실 어릴 때 이모 이뻐서 좋아했다애기들은 원래 다 그렇다사실 이분도 나 태어나기 전에 활동하던 분임내 취향은 왜 죄다     에 머물러있냐왕조현 이모닮음 이모보고싶다 개이뻐 내눈에 여신 천사같음 선녀강림      이쁘다   분위기있게 생겼다 내취향 취저 일기 끄적 나 왕조현 좋아함우리 이모 닮음사하루 전  나 왕조현 좋아함우리 이모 닮음사실 어릴 때 이모 이뻐서 좋아했다애기들은 원래 다 그렇다사실 이분도 나 태어나기 전에 활동하던 분임내 취향은 왜 죄다     에 머물러있냐왕조현 이모닮음 이모보고싶다 개이뻐 내눈에 여신 천사같음 선녀강림      이쁘다   분위기있게 생겼다 내취향 취저 일기 끄적 ,surprise
33,학교 안가는  학년 초딩 공주 점심메뉴 고추장 없어서 간장 쫄볶이 비주얼 포기 존맛 육아 일상 휴일학교 안가는  학년 초딩 공주하루 전   학교  안가는  학년 초딩 공주 점심메뉴 고추장  없어서 간장 쫄볶이 비주얼 포기 존맛 육아 일상 휴일 ,sadness
34,당신의 품에서 태어난 그 순간부터 나의 모든 일생을 지켜주었던 당신 때론 원수가 되어 싸우기도 하고 힘든 일이 생기면 끌어안고 울기도 하고 기쁜 일이 생기면 제일 먼저 생각이 나는 내 모든 기록들에 함께해 준 당신 머리가 자라면서 생각이 커지면서 왜 이렇게 가슴이 아픈지 모르겠습니다 언제나 여기 그대로 계실 것만 같은데 시간이 지나면서 하루가 무섭습니다 내 세상 내 우주 내 전부 내 편이 되어주고 내 곁에 있어주고 내 삶을 만들어줘서 감사하고 또 감사합니다 오늘 당신의 눈물과 그 깊은 아픔이 유독 가슴이 쓰라릴 만큼 괴롭습니다,sadness
35,민기가 떼지 말라는데 제발 가져가지 말아주세요  님의 작은 욕심이 민기가 예쁜 마음을 담아 남긴 포스트잇을 보러간 팬에게는 정말 정말 엄청 슬프고 절망적 일 거에요는 제가 그렇게 느낄 것 제발 가져가지말고,sadness
36,나는 널 원하지 않는다 단지 네가 행복했으면 내가 걱정할 필요도 없이 떨쳐내기 힘든 너란 사람을 어떻게 잊을까 널 미워하는 건 옳지 않고 널 사랑해선 더더욱 아니되니 난 그냥 네 행복을 바라기로 했다 그렇게 네가 행복하다면 내가 걱정할 필요도 없으면 자연스레 널 잊지 않을까 하고 의미없는 생각을 하면서 또 누군가의 행복을 바라고 바라고 있습니다 오늘밤도,sadness
37,연성대학교 국가공인자격증  회차   명 합격ㆍ코로나로 인해  월로 예정되어있던 시험이 계속 연기되면서 지치고 힘든 준비기간과 공모전 준비 등 여러가지 복병 속에서의 합격 소식이라 더 감개무량 작년보다 합격률은 낮아졌지만 학생수가 적어져서라고 위로하며 올해  번 더 남은 시험도 화이팅하길 응원합니다ㆍ연성대학교 연성대 실내건축과 연성실건 실내디자인 인테리어 실내건축산업기사 건설안전기사 자격증 국가공인자격증  회차결과 축하해 아직더남았어요연성대학교 국가공인자격증  회차    시간 전   연성대학교 국가공인자격증  회차   명 합격ㆍ코로나로 인해  월로 예정되어있던 시험이 계속 연기되면서 지치고 힘든 준비기간과 공모전 준비 등 여러가지 복병 속에서의 합격 소식이라 더 감개무량 작년보다 합격률은 낮아졌지만 학생수가 적어져서라고 위로하며 올해  번 더 남은 시험도 화이팅하길 응원합니다ㆍ연성대학교 연성대 실내건축과 연성실건 실내디자인 인테리어 실내건축산업기사 건설안전기사 자격증 국가공인자격증  회차결과 축하해 아직더남았어요 ,joy
38,어제 오늘 승급심사를 너무 잘봐준 아이들과 레크레이션 수업 진행중 입니다만 다른 아이들은 가족여행 등 각자 사정으로 못나와서 제가 함께 뛰어놀아주고 있습니다 한시간 동안 피구하기 자유연습만큼 힘드네요 그래도 아이들과 더 친해질 수 있는기회 안다치고 재밌어 해주어 고맙다 feat우리 우등생들,joy
39,안녕하세요 진인데요 지금 밤늦게 편지를 읽고있습니다 새벽이라 그런지 편지를 읽는데 마음이 싱숭생숭 하네요 하하 많은분들이 요새 생각이 많아진다고들 하시는데 전 개인적으로 너무 깊게 생각하지 마시고 여러분들 원하는 대로 즐기는,joy
40,불안할 수록 펜을 잡아라 라는 말이 있다 난 이 말이 싫다 물론 맞는 말이긴 하지만 그저 따뜻한 위로 한마디 응원 한마디만 해주면 좋을텐데 그 한마디가 어디가 어려워서 안해주는 걸까 요즘 사람들은 너무 결과만 보는거 같아 두렵다,fear
41, 요즘 또 내가 픽한 배우 한서준나의 눈썰미에 포착되면 다 잘되는데 연애의참견 볼때마다 혼자 이입되서아가아가한   년생 좋겟다 부러워 요즘 누나가 너땜에 티비보면서 좀 많이 설렌다  사랑의불시착허전했던현빈빈자리연애의참견재연배우한서준설렌다요즘나의애정배우 hsj m   키크고어른몸인데얼굴은아가아가해이번주연애의참견 보고돌아버리는줄 요즘 또 내가 픽한 배우  달 전   요즘 또 내가 픽한 배우 한서준나의 눈썰미에 포착되면 다 잘되는데 연애의참견 볼때마다 혼자 이입되서아가아가한   년생 좋겟다 부러워 요즘 누나가 너땜에 티비보면서 좀 많이 설렌다  사랑의불시착 허전했던 현빈 빈자리연애의참견 재연배우 한서준 설렌다요즘 나의 애정배우  hsj m  키크고 어른몸인데 얼굴은 아가아가해이번주 연애의참견  보고 돌아버리는줄 ,anger
42,모든 것에 영원은 없다 감정도 관계도 그 무엇 하나 영원일 것은 없다 하지만 어리석게도 당신과의 연은 영원이길 바랬다 영원이 되지 못한다면 긴 시간 함께하길 소망하며 봄을 닮은 당신과 함께 따듯하길 원했다 당신이 봄을 닮아서일까 봄과 함께 당신도 떠났다 왜 하필 많은 계절 중 봄을 닮아 벚꽃처럼 가버렸는가 여름의 장마도 가을의 낙엽도 겨울의 눈도 이리 짧게 지나가진 않았을거다 봄을 닮아 사랑스러웠던 당신이 이젠 봄을 닮아 원망스럽다,sadness
43,내가 생각하는 제일 한심한 직장인은 집에선 아내를 타박하거나 아이들에겐 매몰차게 야단치면서 자기 가족보다 고집 세고 자기를 특별히 좋아하지도 않는 직장동료들을 하루종일 성심성의껏 대하는 사람이다 이것도 사랑이라고 우기면,anger
44,희안하지 좀 진정이 되면 이어폰 꼬인 줄도 잘 풀려 인스타에도 급 좋은 글들만 올라와 신기하지 진짜 나는 너 없인 못살아 우리 더 열심히 찌지고 볶고 살자 나의 악마 저승사자 구원자 여부야 내꺼 오라버니 여보야,joy
45,드콘에 만나야하는 분들 기억해두자 빛나는수호님 새벽별이 아 수정님들 헤 그리고 내 동기들 각자 다른 구역이지만 만나야해 왜냐면 거기서 만나면 세상 웃기고 즐거울 것 같거든  그게 즐거울리가 없잖아 이상하네 모노몽     ,joy
46,당신께 받은 영원한 사랑에 대한 편지를 다시 읽었습니다 그 안의 바다는 반짝였고 두 손은 너무 따뜻했습니다 하지만 지금 나의 바다는 너무나도 고요하고 손은 어디두어야 할지를 몰라 감출 수 밖에 없습니다 이제 그 아무도 사랑하지 못할 것 같습니다,sadness
47,자꾸생각날거에요 그만하고 싶은데 늘 그래왔고 그게 당연한것처럼 일상이 되어 있겠죠 누군가를 좋아하고 사랑하는데 당연한거에요 눈뜨고 하루를 시작해서 잠들기전 하루를 끝내기 전까지 그럴거에요 그게 당연한거에요 그러니까 억지로 멈추려고 하지 말아요 그냥 생각나면 생각나는대로 두는거에요 당신에게 소중하고 전부인 사람이잖아요 지금은 그냥 두세요 심장이 그걸 바라는거에요 그러니까 딱 생각나는만큼만 그러도록 해요,sadness
48,처음으로 끝까지 정상 올라가봄 본인이 자랑스럽다며 열심히 혼자 빨리 내려가다 길잃음 학교에서 자주 가는 산이라 나도 너무 안심하고 있었다 마침 학교에 사람들이 있어서 같이 찾고 결국 경찰까지 와서 찾고  엄마 다시는 못만날까봐 두려웠다고 은조 찾으려고 산을 두번을 올라갔더니 하 다리에 힘풀림  일,surprise
49, 내가 엄마역할을 잘 할수있을까엄마사랑이 어떤건지 제대로 받아본적없는데 잘할수있을까나도 내엄마처럼 자식을 키우게되진않을까무서웠고 고민도 많이 했었다그런데 나는 내 엄마와는 다른 사람이었더라많이 사랑해줄게너한테는 상처를 물려주지않을게육아소통육아  개월아기현실육아육아스타그램귀여운아기모성애엄마사랑자식사랑내리사랑 내가 엄마역할을 잘 할수있을까 일 전   내가 엄마역할을 잘 할수있을까엄마사랑이 어떤건지 제대로 받아본적없는데 잘할수있을까나도 내엄마처럼 자식을 키우게되진않을까무서웠고 고민도 많이 했었다그런데 나는 내 엄마와는 다른 사람이었더라많이 사랑해줄게너한테는 상처를 물려주지않을게육아소통 육아   개월아기 현실육아 육아스타그램 귀여운아기 모성애 엄마사랑 자식사랑 내리사랑 ,love
50, 진심 늦잠자고 싶다요즘은 빈이가 시험기간이라 새벽까지 공부한다공부하고있는 이쁘니공부할때 잘때가 젤 이쁜 우리애들혼자 두고 자는건 못하겠어서 시간 시간이라도 같이 눈뜨고 있어주려한다감시는 절대 아님벗뜨 그럼 늦게까지적어도 애들 깰때까지는 같이 자야하는데 이넘이 covid ¹⁹ 때문에 나는 온라인 출석하여 건강상태를 해줘야 한다된장따시아이들 등교전에 맞춰야 할일이라흑일어나 눈비비고 출썩야 코로나 너은제 도대체 은제 꺼질꺼니화났음늦잠못자서맞음좀비거울더럽네 안경안껴안보임안경안쓰지모자장가불러줄사람 진심 늦잠자고 싶다요즘은 빈이가  달 전  진심 늦잠자고 싶다요즘은 빈이가 시험기간이라 새벽까지 공부한다공부하고있는 이쁘니공부할때 잘때가 젤 이쁜 우리애들혼자 두고 자는건 못하겠어서 시간 시간이라도 같이 눈뜨고 있어주려한다감시는 절대 아님벗뜨 그럼 늦게까지적어도 애들 깰때까지는 같이 자야하는데 이넘이 covid ¹⁹ 때문에 나는 온라인 출석하여 건강상태를 해줘야 한다된장따시아이들 등교전에 맞춰야 할일이라흑일어나 눈비비고 출썩야 코로나 너은제 도대체 은제 꺼질꺼니화났음늦잠못자서맞음좀비거울더럽네안경안껴안보임안경안쓰지모자장가불러줄사람 ,anger
51, 장마흙산속작은집우리의숲숲이화났다무서웠음평화롭던 길이세차던 비에무너져버린 느낌다행히 비는 잦아 들었지만남편과 나우리친구들은 밤샐 예정그만와비 장마흙산속작은집우리의숲한달 전    장마흙산속작은집우리의숲숲이화났다무서웠음 평화롭던 길이세차던 비에무너져버린 느낌다행히 비는 잦아 들었지만남편과 나우리친구들은 밤샐 예정그만와비 ,fear
52,   도시락 일끝나고 가야해서 에버랜드 야간개장에 놀러갔다어린이날 함께할수 없어서 미리다녀왔다  비가 많이내릴까봐 걱정했지만잠깐내리고 날씨는 나쁘지않았다 스릴좋아하는 정민서 넘웃기다 응근겁많은 정석원 많은 놀이기구타서 신나고 남동생이 직접싸준 유부초밥 삼각김밥 돈까스  덕분에 너무편히 잘먹었다 이런삼촌 동생이 어디있겠오  더예쁘게 사진못찍어서 좀 그렇지만몸은 피곤해도 즐겁게 놀고 퍼레이드에 흠뻑취해서 하트날려주고 손흔들어주는 너희모습보니 행복하구나 담에 또가자는 아이들 담에는 엄마가 쉬는날가자  일,joy
53,진짜 출산까지 얼마 안남았다 점점 숨이차고 배가아파서 어느쪽으로 누워도 잠도 제대로 못자고잠들어도 악몽만 엄청꾸고 하람이는   주까지 역아였어서 계속 나는 걱정이되고 출산은 무섭고 자연분만은 해야겠고흐엉엉 무서워,fear
54,일요일 밤 일주일에 마무리는 다들 잘하셨어요 여러분들이 더 보고 싶은 일요일 밤이네요 항상 고맙고 또 고마워요 더 여러분들에게 좋은 기운을 줄 수 있는 사람이 될게요 항상 고맙고 잘 자요 내일도 화이팅,joy
55, 해피즁쥬데이야         두번째네생일 축하해 축하많이받은기쥬니    해피즁쥬데이야        시간 전   해피즁쥬데이야         두번째네생일 축하해 축하많이받은기쥬니    ,joy
56,지난주에 이어 오늘도 어쩌다 호치민 오늘은 광어도다리쥐치로  키로  주섬주섬하길래 뭐하나 했더니 갑오징어를 물넣고 담아준다 집에가서 애들이랑 놀다 죽음 삶아드셔요 하면서 그녀들의 서비스의 끝은 어디인가 그래서 담주도 또가보려고한다 당골챙기는 횟집중 최고최고인듯  드라이브갔다 함 들려들보세요 당골되면 본품보다 서비스가 기막힌곳 ,sadness
57,블랙리스트 좀더 알아봐여 하두 조작을 많이 해서 믿을수 있어야쥐 언론도 검찰도 이제는 믿을수가 없네여 국정농단 테블릿피씨 조작된거 확인되었는데 이미 고발까지 한 사안인데 이건 언제 조사하나여,surprise
58,목삼겹살 먹고 싶었는데 없어서리 대패 점심시간이라 그런가보다 맛있는 점심시간 되세요 알람은 묻히니 선팔시 댓글 남겨주시면    프로 맞팔갑니다 소개계정이나 사용안하시는 계정 빼구요,joy
59,헬스를 끝내고 단백질 보충을 위해 들린 범계 오뎅바 인당 오뎅  개는 시켜야 하며 개당     원이다 저 달콤한 요구르트 소주는 먹기 편해서 작업주로 괜찮을지도 혼자 가볍게 먹기 좋은 곳이다 ,joy
60,화난거 맞다요 죙일 날씨 안 좋아서 집구석에 있게 만들다가 애들 집에 올즈음엔 이렇게 말갛게 맑아져요 그리곤 놀이터에 끌려간다지요 오늘은 그나마 흐려서 봐줬엇 곧바로 컴백홈 흔치않은날 햄버거로 꼬신날 아 피곤,sadness
